org-slug,org-id,dep-id,dep-name,dep-version,latest-version,latest-version-published-date,first-published-date,is-deprecated,license,project-name,project-id,project-url
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,cglib:cglib-nodep@3.3.0,cglib:cglib-nodep,3.3.0,3.3.0,2019-08-12T14:29:54.000Z,2005-08-01T09:28:22.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,ch.qos.logback:logback-classic@1.4.11,ch.qos.logback:logback-classic,1.4.11,1.5.18,2025-03-18T12:47:58.000Z,2006-08-23T16:43:32.000Z,false,Dual license: EPL-1.0; LGPL-2.1,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,ch.qos.logback:logback-core@1.4.11,ch.qos.logback:logback-core,1.4.11,1.5.18,2025-03-18T12:47:13.000Z,2006-08-23T16:41:38.000Z,false,Dual license: EPL-1.0; LGPL-2.1,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.auth0:java-jwt@4.4.0,com.auth0:java-jwt,4.4.0,4.5.0,2025-01-29T14:39:14.000Z,2014-03-07T21:09:53.000Z,false,MIT license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.auth0:jwks-rsa@0.22.1,com.auth0:jwks-rsa,0.22.1,0.22.1,2023-07-28T12:26:54.000Z,2016-08-30T18:51:03.000Z,false,MIT license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.beust:jcommander@1.82,com.beust:jcommander,1.82,1.82,2022-01-11T04:27:03.000Z,2010-07-15T15:34:04.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.fasterxml:classmate@1.5.1,com.fasterxml:classmate,1.5.1,1.7.0,2024-01-03T01:13:08.000Z,2010-11-16T23:22:23.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.fasterxml.jackson.core:jackson-annotations@2.15.3,com.fasterxml.jackson.core:jackson-annotations,2.15.3,2.18.3,2025-02-28T23:25:05.000Z,2012-02-19T07:13:41.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.fasterxml.jackson.core:jackson-core@2.15.3,com.fasterxml.jackson.core:jackson-core,2.15.3,2.18.3,2025-02-28T23:29:09.000Z,2012-02-19T07:19:13.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.fasterxml.jackson.core:jackson-databind@2.15.3,com.fasterxml.jackson.core:jackson-databind,2.15.3,2.18.3,2025-02-28T23:38:19.000Z,2012-02-19T08:05:21.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
customer-b,058d8c31-2bb9-4bac-84d8-03516b798457,com.fasterxml.jackson.dataformat:jackson-dataformat-toml@2.15.3,com.fasterxml.jackson.dataformat:jackson-dataformat-toml,2.15.3,2.18.3,2025-03-01T00:20:21.000Z,2021-04-12T18:40:18.000Z,false,Apache-2.0 license,joe-shope/WebGoat(main):pom.xml,3862e69c-b414-48b0-932e-cb4d59e4416c,https://app.snyk.io/org/customer-b/project/3862e69c-b414-48b0-932e-cb4d59e4416c
